idade,eleitores2012,eleitores2014,eleitores2016,p2012,p2014,p2016
INVALIDA,77,4198,3549,9e-05,0.00488,0.00406
16 ANOS,45803,34604,41102,0.05187,0.04021,0.04704
17 ANOS,59979,51687,55346,0.06793,0.06006,0.06334
SUPERIOR A 79 ANOS,76735,78147,80044,0.0869,0.0908,0.09161
18 A 20 ANOS,79930,77953,79166,0.09052,0.09058,0.0906
21 A 24 ANOS,91194,89067,90711,0.10328,0.10349,0.10382
70 A 79 ANOS,93221,94646,96452,0.10558,0.10997,0.11039
25 A 34 ANOS,100936,100670,100715,0.11431,0.11697,0.11527
35 A 44 ANOS,107725,103886,103072,0.122,0.12071,0.11796
60 A 69 ANOS,107877,108281,108576,0.12217,0.12582,0.12426
45 A 59 ANOS,119503,117475,115033,0.13534,0.1365,0.13165
